title,authors,year,journal,cited_by,fwci,is_review,selection_reason,doi,doi_url,openalex_url,category,abstract
Dietary differences are reflected on the gut prokaryotic community structure of wild and commercially reared sea bream (<i>Sparus aurata</i>),Kormas … Frentzos,2014,MicrobiologyOpen,139,7.64,False,highly-cited,10.1002/mbo3.202,https://doi.org/10.1002/mbo3.202,https://openalex.org/W2062325154,host-microbiome,"We compared the gut prokaryotic communities in wild, organically-, and conventionally reared sea bream (Sparus aurata) individuals. Gut microbial communities were identified using tag pyrosequencing of the 16S rRNA genes. There were distinct prokaryotic communities in the three different fish nutritional treatments, with the bacteria dominating over the Archaea. Most of the Bacteria belonged to the Proteobacteria, Firmicutes, Actinobacteria, and Bacteroidetes. The number of bacterial operational taxonomic units (OTUs) was reduced from the wild to the conventionally reared fish, implying a resp"
Bacillus velezensis AP193 exerts probiotic effects in channel catfish (Ictalurus punctatus) and reduces aquaculture pond eutrophication,Thurlow … Liles,2019,Aquaculture,134,4.81,False,highly-cited,10.1016/j.aquaculture.2018.11.051,https://doi.org/10.1016/j.aquaculture.2018.11.051,https://openalex.org/W2908760413,ambiguous,
Convergence of gut microbiotas in the adaptive radiations of African cichlid fishes,Baldo … Salzburger,2017,The ISME Journal,126,4.16,False,highly-cited,10.1038/ismej.2017.62,https://doi.org/10.1038/ismej.2017.62,https://openalex.org/W2614949670,host-microbiome,"Ecoevolutionary dynamics of the gut microbiota at the macroscale level, that is, in across-species comparisons, are largely driven by ecological variables and host genotype. The repeated explosive radiations of African cichlid fishes in distinct lakes, following a dietary diversification in a context of reduced genetic diversity, provide a natural setup to explore convergence, divergence and repeatability in patterns of microbiota dynamics as a function of the host diet, phylogeny and environment. Here we characterized by 16S rRNA amplicon sequencing the gut microbiota of 29 cichlid species fr"
"The effect of dietary fatty acids on lactic acid bacteria associated with the epithelial mucosa and from faecalia of Arctic charr,<i>Salvelinus alpinus</i>(L.)",Ringø … Olsen,1998,Journal of Applied Microbiology,126,1.2,False,highly-cited,10.1046/j.1365-2672.1998.00595.x,https://doi.org/10.1046/j.1365-2672.1998.00595.x,https://openalex.org/W1987925407,host-microbiome,"Arctic charr, Salvelinus alpinus (L.), held in fresh water, were fed four experimental diets containing different polyunsaturated fatty acids (PUFA). In addition, one group fed a diet containing only coconut oil as sole lipid source served as control. The population of aerobic heterotrophic bacteria associated with the epithelial mucosa and the faecalia was estimated using the dilution plate technique. Generally, the population level of adherent bacteria increased along the digestive tract (stomach, small intestine and large intestine). Adherent Gram-negative and Gram-positive bacteria seemed "
Stable Core Gut Microbiota across the Freshwater-to-Saltwater Transition for Farmed Atlantic Salmon,Rudi … Snipen,2017,Applied and Environmental Microbiology,120,12.78,False,highly-cited,10.1128/aem.01974-17,https://doi.org/10.1128/aem.01974-17,https://openalex.org/W2766333431,host-microbiome,"ABSTRACT Gut microbiota associations through habitat transitions are fundamentally important yet poorly understood. One such habitat transition is the migration from freshwater to saltwater for anadromous fish, such as salmon. The aim of the current work was therefore to determine the freshwater-to-saltwater transition impact on the gut microbiota in farmed Atlantic salmon, with dietary interventions resembling freshwater and saltwater diets with respect to fatty acid composition. Using deep 16S rRNA gene sequencing and quantitative PCR, we found that the freshwater-to-saltwater transition had"
"Aquatic animals promote antibiotic resistance gene dissemination in water via conjugation: Role of different regions within the zebra fish intestinal tract, and impact on fish intestinal microbiota",Fu … Li,2017,Molecular Ecology,118,3.01,False,highly-cited,10.1111/mec.14255,https://doi.org/10.1111/mec.14255,https://openalex.org/W2739034952,host-microbiome,"The aqueous environment is one of many reservoirs of antibiotic resistance genes (ARGs). Fish, as important aquatic animals which possess ideal intestinal niches for bacteria to grow and multiply, may ingest antibiotic resistance bacteria from aqueous environment. The fish gut would be a suitable environment for conjugal gene transfer including those encoding antibiotic resistance. However, little is known in relation to the impact of ingested ARGs or antibiotic resistance bacteria (ARB) on gut microbiota. Here, we applied the cultivation method, qPCR, nuclear molecular genetic marker and 16S "
"A comparison of digestive strategies for fishes with different feeding habits: Digestive enzyme activities, intestinal morphology, and gut microbiota",Jiao … Hua,2023,Ecology and Evolution,111,10.18,False,highly-cited; recent; recent-influential,10.1002/ece3.10499,https://doi.org/10.1002/ece3.10499,https://openalex.org/W4386686299,host-microbiome,"Abstract Fish feeding habit determines the digestive tract structure and intestinal microflora. However, the relationship between feeding habit, digestive intestinal morphology, and microbial diversity of omnivorous, herbivorous, plankton feeder, and carnivorous fish from the same environment has not been compared. This study compared the digestive enzyme activities, intestinal morphology, and intestinal microflora of omnivorous ( Carassius auratus ), herbivorous ( Ctenopharyngodon idellus ), carnivorous ( Siniperca chuatsi ), and plankton feeder ( Schizothorax grahami ) fishes and predicted t"
Phylogenetic diversity and biological activity of culturable Actinobacteria isolated from freshwater fish gut microbiota,Jami … Domig,2015,Microbiological Research,111,6.04,False,highly-cited,10.1016/j.micres.2015.01.009,https://doi.org/10.1016/j.micres.2015.01.009,https://openalex.org/W1986370322,host-microbiome,
Therapeutic Effect of Intestinal Autochthonous Lactobacillus reuteri P16 Against Waterborne Lead Toxicity in Cyprinus carpio,Giri … Park,2018,Frontiers in Immunology,108,3.46,False,highly-cited,10.3389/fimmu.2018.01824,https://doi.org/10.3389/fimmu.2018.01824,https://openalex.org/W2886840509,ambiguous,"Harmful effects of heavy metals are myriad. Lead (Pb) from soil and atmosphere contaminates water bodies and affects the aquatic animals. Our previous study confirmed the in vitro probiotic potential of Lactobacillus reuteri against Pb toxicity, but further investigation is necessary for gaining insights into the related protection mode. Therefore, in this study, we investigated the protective effects of the potential probiotic Lactobacillus reuteri P16 against waterborne Pb exposure-induced toxicity in the freshwater fish Cyprinus carpio. Fish (average weight: 23.16 ± 0.73 g) were allocated t"
Dissecting the factors shaping fish skin microbiomes in a heterogeneous inland water system,Krotman … Szitenberg,2020,Microbiome,106,7.67,False,highly-cited,10.1186/s40168-020-0784-5,https://doi.org/10.1186/s40168-020-0784-5,https://openalex.org/W3013159328,host-microbiome,"BACKGROUND: Fish skin microbiomes are rarely studied in inland water systems, in spite of their importance for fish health and ecology. This is mainly because fish species distribution often covaries with other biotic and abiotic factors, complicating the study design. We tackled this issue in the northern part of the Jordan River system, in which a few fish species geographically overlap, across steep gradients of water temperature and salinity. RESULTS: Using 16S rRNA metabarcoding, we studied the water properties that shape the skin bacterial communities, and their interaction with fish tax"
Enhancing Microbial Pollutant Degradation by Integrating Eco-Evolutionary Principles with Environmental Biotechnology,Borchert … Deines,2021,Trends in Microbiology,106,31.32,False,highly-cited; recent-influential,10.1016/j.tim.2021.03.002,https://doi.org/10.1016/j.tim.2021.03.002,https://openalex.org/W3140369622,ambiguous,"We advocate to shift research efforts in environmental biotechnology from searching for desired traits of monocultures to that of microbial communities. As these traits will be hard to identify with classical genome mining approaches, we recommend using artificial community selection as a tool to identify and to select for novel and/or enhanced functions.Bioremediation and biodegradation with artificially selected microbial communities harbors great potential to become a fast, cost-effective, eco-friendly, and socially acceptable way to remove pollutants without prior knowledge of the involved"
Characterization of rainbow trout (Oncorhynchus mykiss) intestinal microbiota and inflammatory marker gene expression in a recirculating aquaculture system,Mansfield … Hill,2010,Aquaculture,104,1.4,False,highly-cited,10.1016/j.aquaculture.2010.07.014,https://doi.org/10.1016/j.aquaculture.2010.07.014,https://openalex.org/W2020474547,host-microbiome,
Strategies to enhance tilapia immunity to improve their health in aquaculture,Wang … Surachetpong,2022,Reviews in Aquaculture,102,7.84,False,highly-cited; recent; recent-influential,10.1111/raq.12731,https://doi.org/10.1111/raq.12731,https://openalex.org/W4310681995,ambiguous,"Abstract Various emerging and re‐emerging diseases, such as streptococcosis, tilapia lake virus disease and infectious spleen and kidney necrosis virus disease, have had a significant economic impact on the tilapia industry over the last decade. These diseases have resulted in high levels of morbidity and mortality, production losses and trade restrictions. In the absence of effective husbandry management, disease prevention strategies and appropriate biosecurity measures, infectious diseases will continue to challenge the sustainability of global tilapia aquaculture. Strategies used to reduce"
"Impacts of polystyrene nanoplastics at the environmentally relevant and sub-lethal concentrations on the oxidative stress, immune responses, and gut microbiota to grass carp (Ctenopharyngodon idella)",Li … Wang,2022,Journal of Hazardous Materials,100,4.13,False,highly-cited; recent,10.1016/j.jhazmat.2022.129995,https://doi.org/10.1016/j.jhazmat.2022.129995,https://openalex.org/W4295736521,host-microbiome,
Host species and habitat shape fish-associated bacterial communities: phylosymbiosis between fish and their microbiome,Sadeghi … Heath,2023,Microbiome,82,15.99,False,recent; recent-influential,10.1186/s40168-023-01697-6,https://doi.org/10.1186/s40168-023-01697-6,https://openalex.org/W4388814246,host-microbiome,"BACKGROUND: While many studies have reported that the structure of the gut and skin microbiota is driven by both species-specific and habitat-specific factors, the relative importance of host-specific versus environmental factors in wild vertebrates remains poorly understood. The aim of this study was to determine the diversity and composition of fish skin, gut, and surrounding water bacterial communities (hereafter referred to as microbiota) and assess the extent to which host habitat and phylogeny predict microbiota similarity. Skin swabs and gut samples from 334 fish belonging to 17 species"
Residual chlorine disrupts the microbial communities and spreads antibiotic resistance in freshwater,Zhang … Qian,2021,Journal of Hazardous Materials,81,8.65,False,recent-influential,10.1016/j.jhazmat.2021.127152,https://doi.org/10.1016/j.jhazmat.2021.127152,https://openalex.org/W3199175265,ambiguous,
"Adverse effects of polystyrene microplastics in the freshwater commercial fish, grass carp (Ctenopharyngodon idella): Emphasis on physiological response and intestinal microbiome",Hao … Zhang,2022,The Science of The Total Environment,80,3.13,False,recent,10.1016/j.scitotenv.2022.159270,https://doi.org/10.1016/j.scitotenv.2022.159270,https://openalex.org/W4302286749,host-microbiome,
Characterization of the core gut microbiota of Nile tilapia (Oreochromis niloticus): indication of a putative novel Cetobacterium species and analysis of its potential function on nutrition,Zhang … Lu,2022,Archives of Microbiology,77,4.75,False,recent,10.1007/s00203-022-03301-1,https://doi.org/10.1007/s00203-022-03301-1,https://openalex.org/W4308027668,host-microbiome,
Acute exposure to microplastics induces metabolic disturbances and gut dysbiosis in adult zebrafish (Danio rerio),Medriano … Bae,2022,Ecotoxicology and Environmental Safety,74,3.04,False,recent,10.1016/j.ecoenv.2022.114125,https://doi.org/10.1016/j.ecoenv.2022.114125,https://openalex.org/W4298343209,host-microbiome,"There is limited knowledge of the ecotoxicological impacts of MPs at the environmentally relevant concentration on freshwater animals, even though numerous studies have demonstrated the toxic effects of MPs on living organisms. In this study, zebraﬁsh (Danio rerio) was used as a model organism to investigate the ecotoxicological effects of acute exposure of virgin MPs on changes in metabolome and gut microbiota. High-throughput untargeted metabolomics using liquid chromatography with tandem mass spectrometry (LC-MS/MS) provided comprehensive insights into the metabolic responses of zebrafish e"
"Tilapia aquaculture, emerging diseases, and the roles of the skin microbiomes in health and disease",Debnath … Tyler,2023,Aquaculture International,71,6.53,False,recent; recent-influential,10.1007/s10499-023-01117-4,https://doi.org/10.1007/s10499-023-01117-4,https://openalex.org/W4366816056,host-microbiome,"Abstract Aquaculture is playing an increasingly important role in global food security, especially for low-income and food-deficit countries. The majority of aquaculture production occurs in freshwater earthen ponds and tilapia has quickly become one of the most widely adopted culture species in these systems. Tilapia are now farmed in over 140 countries facilitated by their ease of production, adaptability to a wide range of environmental conditions, fast growth, and high nutritional value. Typically, tilapia have been considered a hardy, disease resilient species; however, the disease is inc"
Di-(2-ethylhexyl) phthalate exacerbated the toxicity of polystyrene nanoplastics through histological damage and intestinal microbiota dysbiosis in freshwater Micropterus salmoides,Liao … Wang,2022,Water Research,66,2.95,False,recent,10.1016/j.watres.2022.118608,https://doi.org/10.1016/j.watres.2022.118608,https://openalex.org/W4280600130,host-microbiome,
"Copper-induced oxidative stress, transcriptome changes, intestinal microbiota, and histopathology of common carp (Cyprinus carpio)",Zhang … Wang,2022,Ecotoxicology and Environmental Safety,64,3.92,False,recent,10.1016/j.ecoenv.2022.114136,https://doi.org/10.1016/j.ecoenv.2022.114136,https://openalex.org/W4304593238,host-microbiome,"Copper (Cu) is a common contaminant in aquatic environments, which could cause physiological dysfunction in aquatic organisms. However, few studies have comprehensively examined the impact of copper toxicity in freshwater fish over the past decade. In this research, the oxidative stress, liver transcriptome, intestinal microbiota, and histopathology of common carp (C. carpio) in response to Cu exposure were studied, by exposing juvenile carp to 0.2 mg/ml Cu2+ for 30 days. The results revealed that Cu2+ could induce significant changes in malondialdehyde (MDA) content and antioxidant enzyme (su"
Lactic acid bacteria as probiotics in sustainable development of aquaculture,Chizhayeva … САДАНОВ,2022,Aquatic Living Resources,63,4.6,False,recent,10.1051/alr/2022011,https://doi.org/10.1051/alr/2022011,https://openalex.org/W4292262769,ambiguous,"Industrial aquaculture is a dynamic area capable of solving problems of healthy nutrition and food security. Increase of organic pollution, number of opportunistic microorganisms in the aquatic environment of fish farms and the global contamination of feed by mycotoxigenic fungi are serious problems of industrial fish cultivation. The results are weakening of the general condition of fish, immunosuppression, the occurrence of various diseases complicated by drug resistance, the accumulation of antibiotics and chemical compounds in tissues. Probiotics can be an alternative to antibiotics. The u"
The gut bacterial microbiome of Nile tilapia (Oreochromis niloticus) from lakes across an altitudinal gradient,Bereded … Domig,2022,BMC Microbiology,63,5.41,False,recent; recent-influential,10.1186/s12866-022-02496-z,https://doi.org/10.1186/s12866-022-02496-z,https://openalex.org/W4225666493,host-microbiome,"BACKGROUND: Microorganisms inhabiting the gut play a significant role in supporting fundamental physiological processes of the host, which contributes to their survival in varied environments. Several studies have shown that altitude affects the composition and diversity of intestinal microbial communities in terrestrial animals. However, little is known about the impact of altitude on the gut microbiota of aquatic animals. The current study examined the variations in the gut microbiota of Nile tilapia (Oreochromis niloticus) from four lakes along an altitudinal gradient in Ethiopia by using 1"
Effects of water temperature on the gut microbiome and physiology of Chinook salmon (Oncorhynchus tshawytscha) reared in a freshwater recirculating system,Steiner … Symonds,2022,Aquaculture,60,4.07,False,recent,10.1016/j.aquaculture.2022.738529,https://doi.org/10.1016/j.aquaculture.2022.738529,https://openalex.org/W4283217033,host-microbiome,
Effects of microplastics and lead exposure on gut oxidative stress and intestinal inflammation in common carp (Cyprinus carpio L.),Hu … Wang,2023,Environmental Pollution,52,3.0,False,recent,10.1016/j.envpol.2023.121528,https://doi.org/10.1016/j.envpol.2023.121528,https://openalex.org/W4361223355,ambiguous,
"Effects of salinity on growth, physiology, biochemistry and gut microbiota of juvenile grass carp (Ctenopharyngodon idella)",Liu … Li,2023,Aquatic Toxicology,50,4.58,False,recent,10.1016/j.aquatox.2023.106482,https://doi.org/10.1016/j.aquatox.2023.106482,https://openalex.org/W4323669603,host-microbiome,
"Combined effects of cadmium and nanoplastics on oxidative stress, histopathology, and intestinal microbiota in largemouth bass (Micropterus salmoides)",Chen … Duan,2023,Aquaculture,50,2.9,False,recent,10.1016/j.aquaculture.2023.739363,https://doi.org/10.1016/j.aquaculture.2023.739363,https://openalex.org/W4320913566,host-microbiome,
"Geographical distance, host evolutionary history and diet drive gut microbiome diversity of fish across the Yellow River",Pan … Lian,2022,Molecular Ecology,48,3.37,False,recent,10.1111/mec.16812,https://doi.org/10.1111/mec.16812,https://openalex.org/W4311575713,host-microbiome,"Fish represent a large part of the taxonomic diversity of vertebrates and are of high commercial value. However, the factors influencing the gut microbiota composition of freshwater fish over large spatial scales remain unclear. Therefore, this study explored gut microbiome diversity in 24 fish species from the Yellow River, which spans over 1500 km across China. The results showed that geographical distance, host phylogeny and diet significantly influenced gut microbial community diversity, whereas sex, body length and body weight had minimal influence. Geographical distance was the primary f"
Salinity significantly affects intestinal microbiota and gene expression in striped catfish juveniles,Hiệu … Kestemont,2022,Applied Microbiology and Biotechnology,47,2.71,False,recent,10.1007/s00253-022-11895-1,https://doi.org/10.1007/s00253-022-11895-1,https://openalex.org/W4225427031,host-microbiome,
Disruption of fish gut microbiota composition and holobiont’s metabolome during a simulated Microcystis aeruginosa (Cyanobacteria) bloom,Gallet … Marie,2023,Microbiome,46,8.38,False,recent; recent-influential,10.1186/s40168-023-01558-2,https://doi.org/10.1186/s40168-023-01558-2,https://openalex.org/W4376871478,host-microbiome,"BACKGROUND: Cyanobacterial blooms are one of the most common stressors encountered by metazoans living in freshwater lentic systems such as lakes and ponds. Blooms reportedly impair fish health, notably through oxygen depletion and production of bioactive compounds including cyanotoxins. However, in the times of the ""microbiome revolution"", it is surprising that so little is still known regarding the influence of blooms on fish microbiota. In this study, an experimental approach is used to demonstrate that blooms affect fish microbiome composition and functions, as well as the metabolome of ho"
Insect meals in a circular economy and applications in monogastric diets,Gasco … Veldkamp,2023,Animal Frontiers,46,11.9,False,recent; recent-influential,10.1093/af/vfad016,https://doi.org/10.1093/af/vfad016,https://openalex.org/W4385803709,ambiguous,"In nature, insects are part of the natural diet of aquaculture species, poultry, and pigs. Nutritional value of insect meals is comparable or higher than conventional protein sources in animal feed. Large quantities and consistent quality and chemical composition of insect meals are required for use in animal feed. Insect meals may improve animal health and welfare. Insect frass is a good fertilizer with a lower environmental load than artificial fertilizers. Insects are great candidates to support the sustainable development of the feed industry. In the last decade, the global industrialized "
"Effects of polystyrene nanoplastics on oxidative stress, histopathology and intestinal microbiota in largemouth bass (Micropterus salmoides)",Chen … Yu,2022,Aquaculture Reports,45,1.9,False,recent,10.1016/j.aqrep.2022.101423,https://doi.org/10.1016/j.aqrep.2022.101423,https://openalex.org/W4311401363,host-microbiome,"Nanoplastics (NPs) can be taken up by aquatic organism and profoundly impact the growth and fitness of aquatic animals in the ecosystem. Currently, the influence of NPs in commercial fish is still poorly documented, especially in carnivorous freshwater fish. To investigate the effects of NPs in water on growth performance, oxidative stress, histopathology, and intestinal microbiota of Micropterus salmoides, juvenile fish (initial weight 14.56 ± 0.09 g) were exposed to 10 and 100 μg/L polystyrene NPs (100 nm) for seven days and nineteen days. The results showed that no significant difference wa"
Characteristics of microplastic pollution in golden pompano (Trachinotus ovatus) aquaculture areas and the relationship between colonized-microbiota on microplastics and intestinal microflora,Liu … Zhang,2022,The Science of The Total Environment,45,1.8,False,recent,10.1016/j.scitotenv.2022.159180,https://doi.org/10.1016/j.scitotenv.2022.159180,https://openalex.org/W4298111274,host-microbiome,"Microplastic (MPs) pollution is a global marine environmental problem. The effects of MPs on the gut microbiota of aquatic organisms have received considerable attention. For example, microbes colonizing MPs in pond cultures alter the structure and function of the intestinal microbes of shrimp and fish. It was hypothesized that bacteria on MPs in natural mariculture areas also interact with the intestinal flora of golden pompano (Trachinotus ovatus) because biofilms can form on the surface of MPs during long-term floating in seawater. To our knowledge, this study is the first to investigate MP"
Consistent changes in the intestinal microbiota of Atlantic salmon fed insect meal diets,Li … Krogdahl,2022,Animal Microbiome,44,7.45,False,recent; recent-influential,10.1186/s42523-021-00159-4,https://doi.org/10.1186/s42523-021-00159-4,https://openalex.org/W4221121275,host-microbiome,"BACKGROUND: Being part of fish's natural diets, insects have become a practical alternative feed ingredient for aquaculture. While nutritional values of insects have been extensively studied in various fish species, their impact on the fish microbiota remains to be fully explored. In an 8-week freshwater feeding trial, Atlantic salmon (Salmo salar) were fed either a commercially relevant reference diet or an insect meal diet wherein black soldier fly (Hermetia illucens) larvae meal comprised 60% of total ingredients. Microbiota of digesta and mucosa origin from the proximal and distal intestin"
"Effects of hyperosmotic stress on the intestinal microbiota, transcriptome, and immune function of mandarin fish (Siniperca chuatsi)",Ouyang … Zhang,2022,Aquaculture,43,2.64,False,recent,10.1016/j.aquaculture.2022.738901,https://doi.org/10.1016/j.aquaculture.2022.738901,https://openalex.org/W4302024881,host-microbiome,
"Effects of salinity stress on the growth performance, health status, and intestinal microbiota of juvenile Micropterus salmoides",Sun … Luo,2023,Aquaculture,42,6.38,False,recent; recent-influential,10.1016/j.aquaculture.2023.739888,https://doi.org/10.1016/j.aquaculture.2023.739888,https://openalex.org/W4384563137,host-microbiome,
Temporal changes in skin and gill microbiomes of Atlantic salmon in a recirculating aquaculture system – Why do they matter?,Lorgen-Ritchie … Martín,2022,Aquaculture,41,2.86,False,recent,10.1016/j.aquaculture.2022.738352,https://doi.org/10.1016/j.aquaculture.2022.738352,https://openalex.org/W4280495365,host-microbiome,"Mucosal surfaces are key components of teleost health, providing defence against opportunistic pathogens and other insults. Maintaining the integrity of mucosal surfaces and their associated microbial communities, especially the gill and skin that have large surface areas exposed to the environment is essential. Production of Atlantic salmon in land-based recirculating aquaculture systems (RAS) has increased significantly in recent years as it allows greater control over stability of the environment in which fish are reared, reduces water demand and minimises environmental impacts. However, li"
Torula yeast in the diet of Atlantic salmon Salmo salar and the impact on growth performance and gut microbiome,Leeper … Benhaïm,2022,Scientific Reports,41,8.41,False,recent; recent-influential,10.1038/s41598-021-04413-2,https://doi.org/10.1038/s41598-021-04413-2,https://openalex.org/W4221022934,host-microbiome,"Atlantic salmon aquaculture is expanding, and with it, the need to find suitable replacements for conventional protein sources used in formulated feeds. Torula yeast (Cyberlindnera jadinii), has been identified as a promising alternative protein for feed and can be sustainably cultivated on lignocellulosic biomasses. The present study investigated the impact of torula yeast on the growth performance and gut microbiome of freshwater Atlantic salmon. A marine protein base diet and a mixed marine and plant protein base diet were tested, where conventional proteins were replaced with increasing in"
"Probiotic Lactobacillus plantarum SHY21-2 protected zebrafish against Aeromonas hydrophila infection by maintaining intestinal barrier integrity, inhibiting inflammatory and oxidative stress responses, and regulating intestinal microbiome",Jiang … Suo,2023,Aquaculture,41,3.77,False,recent,10.1016/j.aquaculture.2023.740506,https://doi.org/10.1016/j.aquaculture.2023.740506,https://openalex.org/W4390141852,host-microbiome,
Sustainable Fish Feeds with Insects and Probiotics Positively Affect Freshwater and Marine Fish Gut Microbiota,Hasan … Terova,2023,Animals,40,9.21,False,recent; recent-influential,10.3390/ani13101633,https://doi.org/10.3390/ani13101633,https://openalex.org/W4378516144,host-microbiome,"Aquaculture is the fastest-growing agricultural industry in the world. Fishmeal is an essential component of commercial fish diets, but its long-term sustainability is a concern. Therefore, it is important to find alternatives to fishmeal that have a similar nutritional value and, at the same time, are affordable and readily available. The search for high-quality alternatives to fishmeal and fish oil has interested researchers worldwide. Over the past 20 years, different insect meals have been studied as a potential alternate source of fishmeal in aquafeeds. On the other hand, probiotics-live "
"Effects of dietary synbiotics and biofloc meal on the growth, tissue histomorphology, whole-body composition and intestinal microbiota profile of Nile tilapia (Oreochromis niloticus) cultured at different salinities",Hersi … Keskin,2023,Aquaculture,31,9.78,False,recent; recent-influential,10.1016/j.aquaculture.2023.739391,https://doi.org/10.1016/j.aquaculture.2023.739391,https://openalex.org/W4321460073,host-microbiome,
Potential benefits of high-added-value compounds from aquaculture and fish side streams on human gut microbiota,Wang … Barba,2021,Trends in Food Science & Technology,31,8.66,False,recent-influential,10.1016/j.tifs.2021.04.017,https://doi.org/10.1016/j.tifs.2021.04.017,https://openalex.org/W3155777021,host-microbiome,"Human gut microbiota dysbiosis has been linked to a higher risk of non-communicable diseases (NCDs) such us inflammatory disorders, allergy and obesity. Specific dietary strategies, including the use of specific food supplements targeted to microbiota modulation, have been suggested to be especially relevant in reducing the risk of NCDs. In this regard, marine environment is considered as a pivotal source of nutrients and bioactive compounds such as polyunsaturated fatty acids, polysaccharides and active peptides. These compounds, including algae- (alginate, fucoidan) and animal-derived polysa"
"Effects of Corbicula fluminea meal in high-fat diet on growth, lipid metabolism and intestinal microbiota of juvenile rice field eel Monopterus albus",Xie … Li,2024,Aquaculture,23,10.48,False,recent; recent-influential,10.1016/j.aquaculture.2024.741064,https://doi.org/10.1016/j.aquaculture.2024.741064,https://openalex.org/W4396732456,host-microbiome,
Nutritional strategies for Nile tilapia: protein and carbohydrate balances in saline-alkaline aquaculture,Liu … Wang,2025,Journal of Animal Science and Biotechnology/Journal of animal science and biotechnology,9,11.38,False,recent; recent-influential,10.1186/s40104-025-01215-8,https://doi.org/10.1186/s40104-025-01215-8,https://openalex.org/W4411334744,ambiguous,"BACKGROUND: The development of saline-alkaline water aquaculture is an important part of the development of the global food supply. However, there is still limited knowledge about nutritional strategies for aquaculture in saline-alkaline water, including essential nutrients such as proteins and carbohydrates. In this study, our objective was to elucidate the role of different protein-to-carbohydrate ratios in the adaptation of Nile tilapia (Oreochromis niloticus) to salinity-alkalinity stress. RESULTS: Fish were fed three isoenergetic (16.5 kJ/g) and isolipidic (60 g/kg) diets with different p"
Rice-fish co-culture improves carp (Cyprinus carpio) quality by modulating the gut microbiota and metabolites,Nie … Wang,2025,Aquaculture,5,8.91,False,recent; recent-influential,10.1016/j.aquaculture.2025.742659,https://doi.org/10.1016/j.aquaculture.2025.742659,https://openalex.org/W4410051538,host-microbiome,
Flow-dependent modulation of microplastic toxicity in grass carp: Insights from multi-level biological endpoints and machine learning,Rasta … Wu,2026,Journal of Hazardous Materials,5,16.5,False,recent; recent-influential,10.1016/j.jhazmat.2025.141020,https://doi.org/10.1016/j.jhazmat.2025.141020,https://openalex.org/W7118002694,host-microbiome,"Microplastics (MPs) are emerging contaminants in freshwater systems, yet how hydrodynamic conditions modulate their biological effects remains unclear. This study investigated the accumulation, histopathology, immune response, and gut microbiota disruption in Ctenopharyngodon idella exposed to 5 µm polystyrene MPs (1000 µg/L; ~ 1.46 × 10 7 particles/L) under static conditions and water velocities of 1, 3, and 5 Body Lengths per second (BL/s), representing low, medium, and high flow. Water velocity alone caused notable tissue damage, including gill lesions and intestinal alterations, and signif"
Unravelling the Potential Role of Nanoplastics and Microplastics‐Induced Toxicity in Freshwater Fish: Emerging Role of Programmed Cell Death Mechanisms,Abdelmawgood … Soliman,2026,Journal of Applied Toxicology,4,15.97,False,recent; recent-influential,10.1002/jat.70061,https://doi.org/10.1002/jat.70061,https://openalex.org/W7119644724,host-microbiome,"Microplastics (MPs) and nanoplastics (NPs) have emerged as pollutants in aquatic ecosystems, resulting in several detrimental consequences for aquatic animals, particularly fish. Fish is a fundamental and economical food source, abundant in animal protein as well as micronutrients. Exposure of fish to MPs and NPs generates reactive oxygen species and induces oxidative stress, inflammation, and DNA damage, while also altering gut microbiota, thus diminishing fish development and quality. Additionally, the accumulation of MPs and NPs in aquatic habitats may reach the human body through the consu"
Exploring the host-pathogen interaction and genome analysis of multidrug-resistant bacterial pathogen Proteus penneri isolated from Labeo rohita,Kumar … Galindo-Villegas,2026,Frontiers in Immunology,3,12.74,False,recent; recent-influential,10.3389/fimmu.2026.1733414,https://doi.org/10.3389/fimmu.2026.1733414,https://openalex.org/W7135057259,ambiguous,"Multidrug-resistant (MDR) bacterial pathogens represent an escalating challenge to sustainable aquaculture, particularly in high-value freshwater species such as Labeo rohita , a cornerstone of South Asian aquaculture. This study provides the first comprehensive integration of genomic, immunological, and microbiome analyses to characterize Proteus penneri as an emerging MDR pathogen associated with severe disease manifestations in L. rohita , including exophthalmia, ulceration, and hemorrhage. Robust identification through biochemical assays, 16S rRNA sequencing, and phylogenetic analysis conf"
"Can saturated fatty acids spare essential fatty acids in freshwater fish? Evidence from growth, metabolism and gut microbiota in common carp (Cyprinus carpio)",Yang … Xie,2026,Animal Feed Science and Technology,2,39.82,False,recent; recent-influential,10.1016/j.anifeedsci.2026.116639,https://doi.org/10.1016/j.anifeedsci.2026.116639,https://openalex.org/W7123347662,host-microbiome,
Eastern coastal Chinese diet associated with reduced obesity and improved cardiometabolic health,Shi … Zhu,2026,Nature Health,1,14.27,False,recent; recent-influential,10.1038/s44360-026-00079-0,https://doi.org/10.1038/s44360-026-00079-0,https://openalex.org/W7133185520,ambiguous,"Abstract The dietary habits from eastern coastal China have recently garnered widespread attention for their potential health benefits; however, empirical evidence remains limited. Here we applied unsupervised clustering to dietary data from 8,931 participants in the WELL-China cohort from the eastern coastal region and identified a healthful dietary pattern, designated as the ‘EastDiet’. This EastDiet comprised both well-recognized healthy foods (higher intakes of vegetables, fruits, seafood, whole grains, dairy, nuts and eggs; lower intakes of refined rice, red meat and fried foods) and dist"
