doi,annee,titre,revue,citations,decision,motif,confiance,resume_present,preprint,source
10.3390/ijms19092809,2018.0,The Dynamic Changes of Gut Microbiota in Muc2 Deficient Mice,International Journal of Molecular Sciences,104,exclude,"Mouse gene knockout colitis model, no hybridization/host-genotype ancestry framework relevant to hybrid zones",0.97,True,False,s2
10.3897/vz.73.e94063,2023.0,An initial molecular resolution of the mantellid frogs of the Guibemantis liber complex reveals three new species from northern Madagascar,Vertebrate zoology,1,exclude,"Frog species taxonomy/phylogenetics paper, no microbiome study, not hybridization microbiota research",0.98,True,False,s2
10.1002/ecs2.70611,2026.0,"Environment impacts gut microbiome richness in hybridizing chickadees, while ancestry influences community composition",Ecosphere,1,include,"Wild bird hybrid zone, 16S gut microbiome vs host ancestry/environment, directly relevant to frame (iii)",0.85,True,False,s2
10.7287/peerj.preprints.2058v2,2016.0,"Morphological evidence for introgressive hybridization between Feirana quadranus and Feirana taihangnica in Qinling Mountains, China",,0,exclude,"Morphological/mtDNA hybridization study of frogs, no microbiome or 16S community characterization",0.97,True,False,s2
10.1053/j.gastro.2010.07.008,2010.0,Altered macrophage function contributes to colitis in mice defective in the phosphoinositide-3 kinase subunit p110δ,Gastroenterology,92,exclude,"Mouse colitis immunology study, no hybridization zone or host-microbiota-hybrid link; clinical/mechanistic IBD model",0.98,True,False,s2
10.1186/s12864-025-12375-2,2025.0,Multi-omics interrogation of herbivorous phenotype acquisition in hybrid culter under a 30% crude protein diet,BMC Genomics,1,exclude,"Aquaculture hybrid fish diet study, no natural hybrid zone or genetic ancestry-microbiome analysis",0.88,True,False,s2
10.64898/2026.01.22.701163,2026.0,Micro-engineered Konjac Glucomannan-Montmorillonite Hybrids as Multifunctional Biomaterials for Addressing Diet-Induced Obesity in Mice,bioRxiv,0,exclude,"Étude d'obésité chez souris et matériau biomédical, sans hybridation d'organismes ni zone d'hybridation naturelle",0.98,True,True,s2
10.1038/s41467-025-68082-9,2025.0,Engineered vesicles enhance oral antibiotic absorption in proximal small intestine and mitigate gut dysbiosis,Nature Communications,2,exclude,"Drug delivery system for antibiotics/gut dysbiosis, unrelated to host hybridization or genetic ancestry of hybrids",0.98,True,False,s2
10.1186/s43094-024-00675-5,2024.0,Enhanced viability of Lactobacillus spp. via encapsulation in hyaluronan/PVA hybrid electrospun composites for vaginal drug delivery,Future Journal of Pharmaceutical Sciences,10,exclude,"Human vaginal probiotic drug delivery study, unrelated to hybridization, host genetics, or fish microbiota",0.98,True,False,s2
10.3389/fpls.2026.1808527,2026.0,Funneliformis mosseae enhances drought tolerance in maize inbred lines through root transcriptomic reprogramming,Frontiers in Plant Science,0,exclude,"Agronomic maize hybrid drought/AMF study for crop yield-stress tolerance, not host-microbiome hybridization zone genetics",0.93,True,False,s2
10.1111/jfd.70050,2025.0,Oligochitosan-Ameliorated Gut Microbiome and Metabolic Homeostasis in Hybrid Groupers (Epinephelus lanceolatu ♂ × Epinephelus fuscoguttatus ♀) Infected With Vibrio harveyi.,Journal of Fish Diseases,1,exclude,"Aquaculture disease/probiotic study on hybrid grouper, no evolutionary hybridization zone or host-genetics microbiome question",0.95,True,False,s2
10.3389/fmicb.2019.01467,2019.0,Assessing the Hybrid Effects of Neutral and Niche Processes on Gut Microbiome Influenced by HIV Infection,Frontiers in Microbiology,1,exclude,"Human HIV gut microbiome study, no hybridization between organisms or host genetics link, purely clinical",0.97,True,False,s2
10.1093/jxb/eraf400,2025.0,Unraveling novel mechanisms controlling heterosis in seeds: advances and biotechnological applications in crops,Journal of Experimental Botany,1,exclude,"Heterosis genetics/seed biology in crops; rhizosphere microbiome only tangential, no host-microbiome hybridization study",0.9,True,False,s2
10.1101/312231,2018.0,Intestinal microbiota of whitefish (Coregonus sp.) species pairs and their hybrids in natural and controlled environment,bioRxiv,1,include,"Étude empirique microbiote intestinal d'hybrides de poissons vs parentaux, montrant pattern transgressif non-intermédiaire",0.9,True,True,s2
10.1002/imo2.20,2024.0,Role of soil microbes in enhancing crop heterosis,iMetaOmics,1,exclude,"Focuses on crop yield/agronomic heterosis via soil microbes, not evolutionary hybrid zone microbiome study",0.85,True,False,s2
10.21917/ijdsml.2026.0198,2026.0,AASMA: AN ADAPTIVE AGENT-BASED SMART MULTIMODAL ASSISTANT FOR PROACTIVE HEALTHCARE,ICTACT Journal on Data Science and Machine Learning,0,exclude,"AI healthcare platform, not hybridization microbiome study; irrelevant to host-microbiota hybrid zone question",0.98,True,False,s2
10.1186/s10020-026-01533-1,2026.0,"An AI-augmented review of childhood atopic dermatitis biomarkers across genetic, immune, microbial, and metabolic domains.",Molecular Medicine,0,exclude,"Human clinical AD biomarker review, no fish/hybridization host-microbiome or genetic ancestry link",0.98,True,False,s2
10.1111/are.12492,2016.0,"Effects of a dietary organic acids blend and oxytetracycline on the growth, nutrient utilization and total cultivable gut microbiota of the red hybrid tilapia, Oreochromis sp., and resistance to Streptococcus agalactiae",Aquaculture Research,101,exclude,"Aquaculture appliquée (croissance, alimentation, antibiotique) sans question évolutive hôte-microbiote",0.95,False,False,s2
10.1016/j.fsi.2023.109003,2023.0,Glutamine improves growth and intestinal health in juvenile hybrid groupers fed high-dose glycinin.,Fish and Shellfish Immunology,12,exclude,"Aquaculture feed trial on hybrid grouper growth/immunity, not natural hybridization zone or host-microbiote genetics question",0.97,True,False,s2
10.1016/j.fsi.2023.108946,2023.0,"Effects of Chinese herbal medicines on growth performance, intestinal flora, immunity and serum metabolites of hybrid grouper (Epinephelus fuscoguttatus♀×Epinephelus lanceolatu♂).",Fish and Shellfish Immunology,26,exclude,"Aquaculture study on herbal feed additive effects on growth/immunity/gut flora, no evolutionary or hybrid-zone question",0.96,True,False,s2
10.3390/antibiotics9080502,2020.0,Efficacy and Gut Dysbiosis of Gentamicin-Intercalated Smectite as a New Therapeutic Agent against Helicobacter pylori in a Mouse Model,bioRxiv,8,exclude,"Mouse H. pylori drug therapy study, gut dysbiosis unrelated to hybridization or host genetics",0.98,True,True,s2
10.1093/ajcn/nqaa076,2020.0,Neonatal diet alters fecal microbiota and metabolome profiles at different ages in infants fed breast milk or formula.,American Journal of Clinical Nutrition,111,exclude,"Human infant fecal microbiome/diet study, no hybridization, no host genetics or hybrid zone relevance",0.98,True,False,s2
10.1128/aem.01164-18,2018.0,Dynamics and Biodiversity of Bacterial and Yeast Communities during Fermentation of Cocoa Beans,Applied and Environmental Microbiology,84,exclude,"Cocoa bean fermentation microbiome study, not host hybrid zone microbiota; food fermentation not animal/plant hybrid biology",0.98,True,False,s2
10.1097/ms9.0000000000004144,2025.0,Intratumoral microbiota as prognostic biomarkers in gastrointestinal cancers,Annals of Medicine and Surgery,1,exclude,"Human GI cancer intratumoral microbiome, clinical oncology, unrelated to hybridization or host genetics of hybrid zones",0.97,True,False,s2
10.1093/biolinnean/blaa228,2021.0,"Incipient hybrid inferiority between recently introduced, diverging dung beetle populations",Biological Journal of The Linnean Society,11,exclude,"Dung beetle hybrid fitness study; no 16S microbiote characterization, only mentions microbiome inheritance in passing",0.85,True,False,s2
10.1101/2020.01.13.904979,2020.0,Microbiome composition differs in hybrid and inbred maize,bioRxiv,3,exclude,"Maize agronomic hybrids studied for heterosis/yield-related traits, not natural hybrid zone or evolutionary host-microbiome question",0.85,True,True,s2
10.64898/2026.06.24.734177,2026.0,Enhanced Prediction of Gut Microbiome–Related Diseases Using Hybrid Machine Learning Models,bioRxiv,0,exclude,"Human clinical gut microbiome ML prediction study, unrelated to hybridization or host genetics",0.98,True,True,s2
10.3390/genes15070955,2024.0,"Divergence of Phyllosphere Microbial Community Assemblies and Components of Volatile Organic Compounds between the Invasive Sphagneticola trilobata, the Native Sphagneticola calendulacea and Their Hybrids, and Its Implications for Invasiveness",Genes,0,exclude,"Plant invasion/agronomic ecology study, not natural hybridization zone with host genetic control of microbiome question",0.8,True,False,s2
10.1101/855387,2019.0,"VIBRANT: Automated recovery, annotation and curation of microbial viruses, and evaluation of virome function from genomic sequences",bioRxiv,30,exclude,"Viral genome identification tool, unrelated to host-microbiota hybridization or fish tissue microbiome question",0.98,True,True,s2
10.1186/1471-2164-14-873,2013.0,Polysaccharides utilization in human gut bacterium Bacteroides thetaiotaomicron: comparative genomics reconstruction of metabolic and regulatory networks,BMC Genomics,151,exclude,"Human gut bacterium genomics/regulatory networks, no hybridization or host-microbiota evolutionary question",0.97,True,False,s2
10.3390/ani11030643,2021.0,Influence of Enzyme Supplementation in the Diets of Broiler Chickens Formulated with Different Corn Hybrids Dried at Various Temperatures,Animals,11,exclude,"Aquaculture/poultry feed study on corn hybrids and enzymes, not host hybridization or evolutionary microbiome question",0.98,True,False,s2
10.3389/fvets.2022.920080,2022.0,"Variations in the fecal microbiota and their functions of Thoroughbred, Mongolian, and Hybrid horses",Frontiers in Veterinary Science,9,exclude,"Domestic horse breed cross, not natural hybridization zone; no continuous ancestry index or genetic-microbiome control tested",0.85,True,False,s2
10.1021/acsabm.5c00561,2025.0,Design of 3D Additive Manufactured Hybrid Scaffolds for Periodontal Repair Strategies,ACS Applied Bio Materials,9,exclude,"Biomedical scaffold engineering study, unrelated to fish hybridization or host-microbiome genetics",0.98,True,False,s2
10.3389/fmicb.2024.1387957,2024.0,Hybridization alters red deer gut microbiome and metabolites,Frontiers in Microbiology,6,include,"Empirical hybrid vs parental gut microbiome study, dominance/transgressive patterns, host genetic influence on assembly",0.75,True,False,s2
10.1371/journal.pone.0331552,2025.0,Metagenomic profiling of the insect-specific virome in non-urban mosquitoes (Culicidae: Culicinae) from Colombia’s Northern inter-Andean valleys,PLoS ONE,3,exclude,"Mosquito virome study, no hybridization zone, no host genetic/hybrid microbiote comparison relevant to fish hybrids",0.97,True,False,s2
10.1016/j.cbd.2026.101830,2026.0,Microbiome and multi-omics insights into sustainable aquaculture: A triennial systematic review.,Comparative Biochemistry and Physiology - Part D:Genomics and Proteomics,1,exclude,"Aquaculture applied review focused on growth, immunity, disease resistance, sustainability, not natural hybrid zones or host genetics",0.94,True,False,s2
10.1128/msystems.01342-20,2021.0,Genomes of Gut Bacteria from Nasonia Wasps Shed Light on Phylosymbiosis and Microbe-Assisted Hybrid Breakdown,mSystems,17,include,"Empirical hybrid vs parental gut microbiome study, dominance shift, holobiont framework relevant to hybrid breakdown",0.85,True,False,s2
10.1021/acsnano.5c08982,2025.0,Orchestrating Gut Disorders by Oral Delivery of a Living-Synthetic Hybrid Hydrogel.,ACS Nano,23,exclude,"Biomedical hydrogel therapy for colitis in mice; no hybridization, host genetics, or hybrid microbiome relevance",0.98,True,False,s2
10.1002/adhm.202501642,2025.0,pH‐Responsive Probiotic‐Liposome Hybrid System Synergistically Treats Radiation‐Induced Injury via Dual Mechanisms of Anti‐Inflammatory and Microbiome Modulation,Advanced Healthcare Materials,12,exclude,"Biomedical probiotic-liposome therapy in irradiated mice, unrelated to hybridization or host genetics of natural populations",0.98,True,False,s2
10.3390/microorganisms12071358,2024.0,"Effects of Dietary Multi-Strain Probiotics on Growth Performance, Antioxidant Status, Immune Response, and Intestinal Microbiota of Hybrid Groupers (Epinephelus fuscoguttatus ♀ × E. lanceolatus ♂)",Microorganisms,23,exclude,"Aquaculture probiotic growth/immunity study on hybrid grouper, no evolutionary or hybridization-zone question",0.97,True,False,s2
10.3390/microorganisms9081704,2021.0,The Sisal Virome: Uncovering the Viral Diversity of Agave Varieties Reveals New and Organ-Specific Viruses,Microorganisms,10,exclude,"Virome study of Agave organs, not hybrid microbiota comparison to parental species or hybridization zone",0.95,True,False,s2
10.1038/s41477-021-01080-z,2021.0,Microbiome effects on hybrid vigour,Nature Plants,1,unclear,No abstract; title suggests relevant hybrid-microbiome topic but content unverifiable,0.3,False,False,s2
10.33540/3442,,Born to rewild: Reconnecting beneficial plant-microbiome alliances for resilient future crops,,0,exclude,Plant domestication/soil microbiome in potato agriculture; not animal/plant hybridization zones or host genetics-microbiome link required,0.95,True,False,s2
10.21203/rs.3.rs-6977322/v1,2025.0,Differential susceptibility to colonic ulceration in mice with genetic deletion of Prostaglandin E synthase,Research Square,0,exclude,"Mouse knockout colitis model with F1 hybrids, not natural hybrid zone between species; clinical disease focus",0.93,True,False,s2
10.1016/j.jconrel.2025.02.036,2025.0,Chemotaxis-driven hybrid liposomes recover intestinal homeostasis for targeted colitis therapy.,Journal of Controlled Release,22,exclude,"Clinical drug-delivery study for colitis therapy, unrelated to hybridization or host genetics/microbiota evolution",0.98,True,False,s2
10.1371/journal.pone.0272310,2022.0,"Effect of Zanthoxylum bungeanum essential oil on rumen enzyme activity, microbiome, and metabolites in lambs",PLoS ONE,18,exclude,"Aquaculture/livestock feed additive study on rumen microbiome, not hybridization zone or host-microbiota genetics question",0.97,True,False,s2
10.1016/j.aquaculture.2026.743632,2026.0,"Lactobacillus reuteri rather than Lactobacillus rhamnosus GG fermented soybean meal improves growth performance, intestinal health and gut microbiota dysbiosis of hybrid yellow catfish (Pelteobagrus fulvidraco ♀ × Pelteobagrus vachelli ♂)",Aquaculture,2,exclude,"Aquaculture probiotic/growth study, no evolutionary or hybridization-microbiote genetic question",0.9,False,False,s2
10.1016/j.compbiomed.2025.111058,2025.0,Identification of drug targets in pan-drug resistant Acinetobacter baumannii via whole genome sequencing and subtractive genomics,Comput. Biol. Medicine,0,exclude,"Bacterial genomics for drug targets, unrelated to hybridization, host microbiota, or hologenome framework",0.98,True,False,s2
10.31677/3033-8433-2026-21-1-160-171,2026.0,Intestinal microbiome and immune genes of rolo sturgeon hybrid using probiotics,Vestnik University of biotechnologiy,0,exclude,"Aquaculture probiotic study on hybrid sturgeon, no evolutionary/hybridization-zone or host genetics framing",0.95,True,False,s2
10.1111/nph.16730,2020.0,Heterosis of leaf and rhizosphere microbiomes in field-grown maize.,New Phytologist,82,exclude,"F1 crop hybrids studied for heterosis/yield-related traits, not natural hybrid zone or introgression system",0.75,True,False,s2
10.46989/001c.138382,2025.0,Positive relationship between Clostridium abundance and bacterial community diversity in the aquaculture water of hybrid grouper (Epinephelus fuscoguttatus♀ × E. lanceolatus♂) in coastal areas of Hainan Island,Israeli Journal of Aquaculture (Bamidgeh),0,exclude,"Water microbiota in aquaculture, not host microbiome; aquaculture/probiotic focus, no host-hybrid microbiome comparison",0.97,True,False,s2
10.1038/s41467-025-65829-2,2025.0,Rhizosheath inhabiting Massilia are linked to heterosis in roots of maize,Nature Communications,6,exclude,"Maize hybrids studied for agronomic heterosis/yield-stress traits, not evolutionary host-microbiote hybridization framework",0.85,True,False,s2
10.1186/s40104-025-01332-4,2026.0,Cryptosporidium spp. infection drives distinct alterations in the faecal extracellular vesicles metaproteome of calves,Journal of Animal Science and Biotechnology,0,exclude,"Calf gut infection metaproteomics, no hybridization zone or host-microbiome genetics, livestock disease focus",0.97,True,False,s2
10.1186/s42523-022-00189-6,2022.0,Expressions of resistome is linked to the key functions and stability of active rumen microbiome,Animal Microbiome,17,exclude,"Rumen resistome in cattle breeds, not hybridization zone or host-microbiome genetic hybrid study",0.96,True,False,s2
10.3390/fishes10010033,2025.0,"Effects of Chinese Herbal Medicines on Growth Performance, Antioxidant Capacity, and Liver and Intestinal Health of Hybrid Snakehead (Channa maculata ♀ × Channa. argus ♂)",Fishes,3,exclude,"Aquaculture feed additive study on growth/health, no host-genetics or hybrid zone evolutionary question",0.96,True,False,s2
10.1016/j.ejpb.2026.115119,2026.0,"Cupuaçu (Theobroma grandiflorum) butter nanoparticles associated with oligosaccharides as cosmetic carriers for prebiotic effect: development, physicochemical characterization, and preclinical evaluation.",European journal of pharmaceutics and biopharmaceutics,0,exclude,"Cosmetic nanoparticle skin microbiome study, no hybridization, no host genetics, no fish or hybrid zone relevance",0.98,True,False,s2
10.1111/jipb.13416,2022.0,Heterosis in root microbiota inhibits growth of soil-borne fungal pathogens in hybrid rice.,Journal of Integrative Plant Biology,14,exclude,"Hybrid crop rice bred for yield/pathogen protection, not natural hybridization zone or evolutionary host-microbiote question",0.85,True,False,s2
10.3390/microorganisms11040879,2023.0,Effects of Inbreeding on Microbial Community Diversity of Zea mays,bioRxiv,5,exclude,"Maize hybrid vigor microbiome study, agronomic inbred vs hybrid, not natural hybridization zone/introgression context",0.75,True,True,s2
10.1101/235341,2017.0,Phylofactorization: a graph-partitioning algorithm to identify phylogenetic scales of ecological data,bioRxiv,30,exclude,"Methodological paper on phylogenetic scale/graph-partitioning statistics, not hybridization zone or host microbiote study",0.93,True,True,s2
10.3945/jn.115.229377,2016.0,Thymol and Carvacrol Affect Hybrid Tilapia through the Combination of Direct Stimulation and an Intestinal Microbiota-Mediated Effect: Insights from a Germ-Free Zebrafish Model.,Journal of NutriLife,94,exclude,"Aquaculture feed additive study on tilapia/zebrafish gut microbiota, not hybridization zone or host genetics",0.97,True,False,s2
10.1111/1462-2920.15993,2022.0,Sarracenia pitcher plant-associated microbial communities differ primarily by host species across a longitudinal gradient.,Environmental Microbiology,6,include,"Natural plant hybrids vs parental species, host microbiome intermediate pattern, host vs geography partition—matches frames i and iii",0.8,True,False,s2
10.3389/fmars.2022.1038394,2022.0,"Effect of dietary oregano oil on growth performance, disease resistance, intestinal morphology, immunity, and microbiota of hybrid grouper (Epinephelus fuscoguttatus ♀ × Epinephelus lanceolatus ♂)",Frontiers in Marine Science,10,exclude,"Aquaculture feed additive study on hybrid grouper growth/immunity, not hybridization zone or host-genetics microbiome question",0.97,True,False,s2
10.1186/s42523-022-00203-x,2022.0,"Links between host genetics, metabolism, gut microbiome and amoebic gill disease (AGD) in Atlantic salmon",Animal Microbiome,17,exclude,"Salmon farmed vs wild crosses with AGD disease/aquaculture focus, not natural hybridization zone or host-microbiota genetics framework",0.88,True,False,s2
10.1186/s12951-025-03712-4,2025.0,Smart hybrid nanomaterials for chronic infections: microbiome-responsive and sustainable therapeutic platforms,Journal of Nanobiotechnology,28,exclude,"Human clinical wound nanomaterials review, unrelated to hybridization or host genetics microbiota",0.98,True,False,s2
10.3390/ani16142178,2026.0,"Underlying the Enhanced Ammonia Stress Resistance by Prebiotic Xylo-Oligosaccharides in Hybrid Groupers: An Integrative Analysis of Serum Physiology, Hepatic Transcriptomics, and Intestinal Health",Animals,0,exclude,"Aquaculture prebiotic study on ammonia stress, growth/health, no evolutionary or natural hybridization question",0.97,True,False,s2
10.1002/fsn3.72098,2026.0,Ameliorative Effects of Newly Developed Citrus Hybrid “Mubong” Peel Extract on Experimental Colitis and Gut Microbiota Dysbiosis,Food Science & Nutrition,0,exclude,"Citrus hybrid fruit extract studied for colitis therapy in mice, not host-hybrid microbiote evolution",0.97,True,False,s2
10.1186/s40168-020-00867-0,2020.0,"VIBRANT: automated recovery, annotation and curation of microbial viruses, and evaluation of viral community function from genomic sequences",Microbiome,989,exclude,"Bioinformatics tool for viral genome detection in metagenomes, unrelated to hybridization or host microbiote",0.97,True,False,s2
10.3390/microorganisms13071449,2025.0,Gut Microbiota Contribute to Heterosis for Growth Trait and Muscle Nutrient Composition in Hybrid Largemouth Bass (Micropterus salmoides),Microorganisms,2,include,"Empirical hybrid vs parental gut microbiota comparison, non-additive inheritance pattern relevant to framework (i)/(ii)",0.75,True,False,"openalex,s2"
10.1093/tas/txae163,2024.0,"Apparent total tract nutrient digestibility of frozen raw, freeze-dried raw, fresh, and extruded dog foods and their effects on serum metabolites and fecal characteristics, metabolites, and microbiota of healthy adult dogs",Translational Animal Science,3,exclude,"Dog food aquaculture-like diet study; no hybridization, no host genetics, applied nutrition context",0.98,True,False,s2
10.1186/s13099-026-00811-x,2026.0,Metagenomic analysis of the human gut virome reveals functional signatures and viral stability across hospitalized and non-hospitalized diarrheal and non-diarrheal individuals,Gut Pathogens,2,exclude,"Human clinical gut virome study, no hybridization or host genetics link, excluded as human microbiome without hybridization",0.98,True,False,s2
10.46497/archrheumatol.2023.10580,2023.0,Beyond the horizon: Innovations and future directions in axial-spondyloarthritis,Archives of Rheumatology,7,exclude,"Human clinical rheumatology review, no host-microbiote hybridization or fish/animal hybrid zone content",0.98,True,False,s2
10.1093/aob/mcag010,2026.0,Decoding the genetic mechanism of heterosis in rice: insights from multi-omics and systems approaches.,Annals of Botany,0,exclude,"Rice heterosis review for crop yield/breeding, no host microbiote comparison or hybridization zone study",0.92,True,False,s2
10.4049/jimmunol.2300480,2024.0,Engineering strategies to modulate the gut microbiome and immune system,Journal of Immunology,28,exclude,"Human/clinical gut microbiome therapeutics review, unrelated to hybridization or host genetics",0.98,True,False,s2
10.1002/fbe2.70024,2025.0,Gut‐Targeted Nutraceutical Delivery: Engineering Microbiome‐Responsive Nutraceutical Interfaces,Food Bioengineering,18,exclude,"Human/clinical gut microbiome nutraceutical delivery review, unrelated to hybridization or host genetics",0.98,True,False,s2
10.1002/jbm.b.35594,2025.0,Carrageenan-Based Hydrogels for Advanced Wound Healing and Controlled Drug Delivery in Tissue Engineering.,Journal of Biomedical Materials Research. Part B - Applied biomaterials,12,exclude,"Biomaterials/hydrogel review for tissue engineering, unrelated to hybrid zones or host microbiota genetics",0.98,True,False,s2
10.1016/j.aninu.2025.11.007,2026.0,Berberine alleviates soybean meal-induced enteritis in hybrid yellow catfish (Pelteobagrus fulvidraco ♀ × Pelteobagrus vachelli ♂) by regulating intestinal microbiota and tryptophan metabolism,Animal Nutrition,0,exclude,"Aquaculture study on berberine/enteritis in hybrid catfish, no host-hybridization microbiome evolutionary question",0.96,True,False,s2
10.1111/eva.13116,2020.0,Niche‐neutral theoretic approach to mechanisms underlying the biodiversity and biogeography of human microbiomes,Evolutionary Applications,19,exclude,"Human microbiome biogeography theory, no hybridization or host genetics context, unrelated to fish/hybrid zones",0.97,True,False,s2
10.1094/pbiomes-04-25-0026-r,2025.0,The Interaction Between Abiotic and Biotic Soil Factors Modulates Heterosis Expression in Maize,Phytobiomes Journal,0,exclude,"Maize hybrid vigor/agronomic yield study with soil microbiome, not host-microbiota hybridization zone or genetic heritability framework",0.92,True,False,s2
10.1111/1744-7917.70241,2026.0,Gut microbiota landscape of Haemaphysalis longicornis under Borrelia burgdorferi infection.,Insect Science,0,exclude,"Tick vector microbiome and pathogen infection study, not host hybridization or hybrid zone research",0.97,True,False,s2
10.1186/s13568-019-0747-z,2019.0,Dietary supplementation with fermented Mao-tai lees beneficially affects gut microbiota structure and function in pigs,AMB Express,30,exclude,"Aquaculture/livestock feed additive study on pig gut microbiota, no hybridization or host genetics question",0.98,True,False,s2
10.7759/cureus.61497,2024.0,Evaluation of Antimicrobial Susceptibility and Resistance Patterns of Treponema denticola Isolated From Periodontal Disease: An In Vitro Study,Cureus,8,exclude,"Human periodontal microbiome antimicrobial susceptibility study, no hybridization or host genetics link",0.98,True,False,s2
10.2174/0126662906449437260324041201,2026.0,"Unraveling the Complex Pathogenesis, Diagnosis, and Therapeutic Interventions of Inflammatory Bowel Disease",The International Journal of Gastroenterology and Hepatology Diseases,0,exclude,"Human clinical IBD review, no hybridization, no host-microbiote genetics link",0.98,True,False,s2
10.32634/0869-8155-2024-387-10-80-85,2024.0,The quality of snaplage from an early ripening corn hybrid with biological inoculant and chemical preservatives,Agrarian science,1,exclude,"Agronomic corn hybrid feed preservation study, no host-microbiome or hybridization-zone genetics context",0.98,True,False,s2
10.1016/j.tplants.2026.04.015,2026.0,Nitrous oxide mitigation in hybrid maize mediated by Massilia.,Trends in Plant Science,0,exclude,"Maïs hybride agronomique, azote/N2O, sans lien hybridation naturelle ou hôte-microbiote évolutif poisson",0.92,True,False,s2
10.1016/j.aquaculture.2020.736245,2020.0,"The intestinal microbiome of Australian abalone, Haliotis laevigata and Haliotis laevigata × Haliotis rubra, over a 1-year period in aquaculture.",Aquaculture,25,exclude,"Aquaculture abalone gut microbiome study, production/seasonal focus, no evolutionary or hybrid-vs-parental host-genetics question",0.9,True,False,s2
10.1002/npp2.70035,2026.0,Defense heterosis as a novel plant protection strategy: From theory to breeding practice,New Plant Protection,0,exclude,"Crop hybrid disease resistance review, agronomic focus, no host microbiome/hybridization-microbiota empirical study",0.95,True,False,"openalex,s2"
10.1101/2024.08.30.610574,2024.0,The interaction between abiotic and biotic soil factors drive heterosis expression in maize,bioRxiv,1,exclude,"Maize hybrids studied for heterosis/yield-related traits via soil microbiome, agronomic focus not natural hybridization/holobiont framework",0.85,True,True,s2
10.1126/science.aaz7595,2019.0,Immunostimulatory gut bacteria,Science,23,exclude,"Human clinical microbiota/GVHD study, unrelated to hybridization or host genetic control of microbiome",0.98,True,False,s2
10.1128/msystems.00004-24,2024.0,Heterosis of endophytic microbiomes in hybrid rice varieties improves seed germination,mSystems,21,exclude,"Cultivated hybrid rice seed microbiome focused on germination/breeding benefit, not natural hybridization or host genetics evolutionary framing",0.85,True,False,s2
10.1002/pld3.122,2019.0,Metabolomics of sorghum roots during nitrogen stress reveals compromised metabolic capacity for salicylic acid biosynthesis,Plant Direct,34,exclude,"Sorghum N-stress metabolomics/rhizosphere microbiome, no hybridization zone or host-microbiome genetic control study",0.96,True,False,s2
10.1021/acsnano.9b09125,2020.0,Amyloid-Polyphenol Hybrid Nanofilaments Mitigate Colitis and Regulate Gut Microbial Dysbiosis.,ACS Nano,149,exclude,"Biomedical nanomaterial/colitis mouse study, unrelated to fish hybridization or host-genetic microbiome partitioning",0.98,True,False,s2
10.3390/ani15131983,2025.0,Dietary Tea Polyphenols Improve Growth Performance and Intestinal Microbiota Under Chronic Crowding Stress in Hybrid Crucian Carp,Animals,7,exclude,"Aquaculture study on crowding stress and tea polyphenols, no evolutionary or hybridization-microbiota question",0.97,True,False,s2
10.3390/ani13010009,2022.0,Effects of Dietary Protein Restriction on Colonic Microbiota of Finishing Pigs,Animals,10,exclude,"Aquaculture pig diet study on gut microbiota, no hybridization zone or host-genetic microbiome question",0.97,True,False,s2
10.3390/ijms27114775,2026.0,"Hybridization-Driven Herbivorous Adaptation in Fish: Morphological, Digestive, Transcriptome, and Microbial Evidence from a Hybrid of Megalobrama amblycephala (♀) × Culter mongolicus (♂)",International Journal of Molecular Sciences,0,exclude,"Aquaculture hybrid fish for herbivorous trait/growth, not natural hybrid zone or evolutionary host-microbiota question",0.88,True,False,s2
10.1039/d2bm00366j,2022.0,Flavonoid-amyloid fibril hybrid hydrogels for obesity control via the construction of gut microbiota.,Biomaterials Science,15,exclude,"Mouse obesity/gut microbiota study with hydrogel material, no hybridization zone or host genetics-microbiome link",0.98,True,False,s2
10.1016/j.tplants.2024.07.015,2024.0,Beyond plant genetics: microbiome-enhancing heterosis in plants.,Trends in Plant Science,8,exclude,"Plant heterosis/seed microbiome commentary focused on agronomy, not hybridization zone or host genetic control framework",0.75,True,False,s2
10.3389/fmars.2022.1068997,2022.0,Effects of Bacillus sp. and Lactobacillus sp. combination as a water additive on the culture pond water and growth performance of hybrid grouper (Epinephelus fuscoguttatus × Epinephelus polyphekadion),Frontiers in Marine Science,7,exclude,"Aquaculture probiotic water additive study on hybrid grouper, no host microbiome/hybridization-genetics question",0.97,True,False,s2
10.23977/agrfem.2025.080118,2025.0,Economic Impact and Management Strategies for Post-Weaning Diarrhea in Piglets: A Comprehensive Review,Agricultural &amp; Forestry Economics and Management,0,exclude,"Applied swine aquaculture/economics review on weaning diarrhea, not hybridization or host-microbiome evolutionary genetics",0.97,True,False,s2
10.1016/j.jconrel.2026.114631,2026.0,Hitchhiking novel nanozymes on Bacillus licheniformis as an interactive reinforced bioactive platform for multifaceted therapy of ulcerative colitis.,Journal of Controlled Release,1,exclude,"Clinical UC nanomedicine study in mice, no hybridization or host genetics link, unrelated to fish hybrid microbiota question",0.98,True,False,s2
10.1016/j.jgg.2024.06.011,2024.0,Synergy of gut microbiota and host genome in driving heterosis expression of chickens.,Journal of genetics and genomics = Yi chuan xue bao,9,include,"Empirical hybrid vs parental gut microbiota comparison, nonadditive/transgressive patterns, host genotype-microbiome association relevant to framework (i)/(ii)",0.75,True,False,s2
